web-scraper-order,web-scraper-start-url,organisation,sponsor_level,organisation_page,organisation_page-href,facebook_json,facebook_json-href,website_json,website_json-href,twitter_json,twitter_json-href,youtube_json,youtube_json-href,linkedin_json,linkedin_json-href,instagram_json,instagram_json-href,google_plus_json,google_plus_json-href,pinterest_json,pinterest_json-href
"1566830292-42","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Deez-Picz & VIDZ","Bronze Sponsor","More about Deez-Picz & VIDZ","http://esax.ca/deez-picz-vidz/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/Deez-Picz-VIDZ-1538133012890984/""}]","","[]","","[]","","[]","","[]","","[{""instagram_json"":""Instagram"",""instagram_json-href"":""https://www.instagram.com/challenge/3001121163/mu5A0FCaoc/""}]","","[]","","[]",""
"1566830294-43","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","SURE Print & Graphics","Silver Sponsor","More about Sure Print & Graphics","http://esax.ca/sure-printgraphics/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/sureorleans""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.sureprint.ca/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/sureorleans""}]","","[]","","[]","","[]","","[]","","[]",""
"1566830285-39","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Talk To The Mike","Bronze Sponsor","More about Talk To The Mike","http://esax.ca/talk-to-the-mike/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://m.facebook.com/TALK-TO-THE-MIKE-2491178207574317/""}]","","[]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/talktothemike3""}]","","[{""youtube_json"":""Youtube"",""youtube_json-href"":""https://www.youtube.com/channel/UCIehZHhb4SEN7wJ_VmzF5bQ?app=desktop""}]","","[]","","[{""instagram_json"":""Instagram"",""instagram_json-href"":""https://www.instagram.com/talk_to_the_mike/""}]","","[]","","[]",""
"1566830283-38","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","CIMC","Bronze Sponsor","More about CIMC","http://www.cimcweb.com/","[]","","[]","","[]","","[]","","[]","","[]","","[]","","[]",""
"1566830305-48","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Pita Pit Orleans & Kanata","Food Sponsor","More about PitaPit","http://esax.ca/pitapit/","[{""facebook_json"":""Facebook Kanata"",""facebook_json-href"":""https://www.facebook.com/pitapitkanata""},{""facebook_json"":""Facebook Orleans"",""facebook_json-href"":""https://www.facebook.com/pitapitorleans""}]","","[{""website_json"":""Website"",""website_json-href"":""https://pitapit.ca/""}]","","[{""twitter_json"":""Twitter Kanata"",""twitter_json-href"":""https://twitter.com/pitapitkanata""},{""twitter_json"":""Twitter Orleans"",""twitter_json-href"":""https://twitter.com/PitaPitOrleans""}]","","[]","","[]","","[]","","[]","","[]",""
"1566830298-45","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Shop Ottawa","Silver Sponsor","More about Shop Ottawa","http://esax.ca/shop-ottawa/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""http://www.facebook.com/shoplocally""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.shopottawa.com/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/shoplocally""}]","","[]","","[]","","[]","","[]","","[]",""
"1566830288-40","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Mobile Optician Services","Bronze Sponsor","More about Mobile Optician Services","http://esax.ca/mobile-optician-service/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/MobileOpticianOttawa""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.mobileoptician.ca/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/SylvieOptician""}]","","[]","","[]","","[{""instagram_json"":""Instagram"",""instagram_json-href"":""https://www.instagram.com/mobileoptician/""}]","","[]","","[]",""
"1566830301-46","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Ottawa Special Events","Silver Sponsor","More about Ottawa Special Events","http://esax.ca/ottawa-special-events/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/OttawaSpecialEvents/""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.ottawaspecialevents.com/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/OttSpecEvents""}]","","[]","","[]","","[]","","[]","","[]",""
"1566830296-44","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Media Mall","Silver Sponsor","More about Media Mall","http://esax.ca/media-mall/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/mediamallottawa/""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.mediamall.ca/""}]","","[]","","[]","","[{""linkedin_json"":""Linkedin"",""linkedin_json-href"":""https://www.linkedin.com/company/media-mall-marketing-inc""}]","","[{""instagram_json"":""Instagram"",""instagram_json-href"":""https://www.instagram.com/mediamallottawa/""}]","","[]","","[]",""
"1566830303-47","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","Sax Appeal","Silver Sponsor","More about Sax Appeal","http://esax.ca/sax-appeal/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/SaxAppealOttawa""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.saxappeal.ca/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""http://twitter.com/SaxAppealOttawa""}]","","[{""youtube_json"":""Youtube"",""youtube_json-href"":""http://www.youtube.com/user/SaxAppealOttawa""}]","","[{""linkedin_json"":""Linkedin"",""linkedin_json-href"":""http://linkedin.com/company/sax-appeal""}]","","[{""instagram_json"":""Instagram"",""instagram_json-href"":""http://instagram.com/saxappealottawa""}]","","[{""google_plus_json"":""Google +"",""google_plus_json-href"":""https://plus.google.com/+SaxAppealOttawa""}]","","[{""pinterest_json"":""Pinterest"",""pinterest_json-href"":""http://pinterest.com/saxappealottawa""}]",""
"1566830290-41","http://esax.ca/sponsors/?fbclid=IwAR1dXo_LKnG2BkllpeUtpoUfnDNoqOhBitz4OvzFWRcoXGmCXcRcTjXqjeM","East Coast Limos","Bronze Sponsor","More about East Coast Limos","http://esax.ca/east-coast-limos/","[{""facebook_json"":""Facebook"",""facebook_json-href"":""https://www.facebook.com/EastCoastLimos""}]","","[{""website_json"":""Website"",""website_json-href"":""http://www.eastcoastlimos.ca/""}]","","[{""twitter_json"":""Twitter"",""twitter_json-href"":""https://twitter.com/EastCoastLimos""}]","","[]","","[]","","[]","","[]","","[]",""
